Game ID,Home Team,Away Team,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Player ID
,,,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,
202411150IND,IND,MIA,James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,nembhan01
202411150IND,IND,MIA,Andrew Nembhard,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,nesmiaa01
202411150IND,IND,MIA,Aaron Nesmith,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,
202411150ORL,ORL,PHI,Paul George,35:35,4,15,.267,3,9,.333,2,3,.667,1,3,4,5,4,0,3,2,13,9.0,-11,georgpa01
202411150ORL,ORL,PHI,Caleb Martin,33:26,1,3,.333,1,1,1.000,0,0,,1,4,5,1,0,0,4,4,3,-1.7,-9,martica02
202411150ORL,ORL,PHI,Joel Embiid,32:44,5,15,.333,0,5,.000,10,10,1.000,1,7,8,2,1,1,6,2,20,10.6,-9,embiijo01
202411150ORL,ORL,PHI,Jared McCain,31:21,10,17,.588,5,10,.500,4,4,1.000,1,0,1,4,0,0,0,6,29,22.2,+13,mccaija01
202411150ORL,ORL,PHI,Kyle Lowry,28:28,2,5,.400,0,1,.000,0,0,,0,0,0,3,3,0,0,0,4,6.4,-15,lowryky01
202411150ORL,ORL,PHI,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,oubreke01
202411150ORL,ORL,PHI,Kelly Oubre Jr.,25:32,2,4,.500,1,2,.500,0,0,,1,3,4,0,1,0,1,4,5,3.0,-14,yabusgu01
202411150ORL,ORL,PHI,Guerschon Yabusele,24:25,2,4,.500,0,1,.000,0,0,,0,2,2,1,0,1,0,3,4,2.8,-13,gordoer01
202411150ORL,ORL,PHI,Eric Gordon,15:53,1,4,.250,0,2,.000,0,0,,0,2,2,1,1,1,1,1,2,1.2,-5,dowtije01
202411150ORL,ORL,PHI,Jeff Dowtin,5:07,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,1,1,1.2,-2,drumman01
202411150ORL,ORL,PHI,Andre Drummond,3:49,1,3,.333,0,0,,0,0,,1,4,5,0,0,0,1,0,2,1.2,+2,martike04
202411150ORL,ORL,PHI,KJ Martin,1:13,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,2.3,+1,bonaad01
202411150ORL,ORL,PHI,Adem Bona,1:13,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,councri01
202411150ORL,ORL,PHI,Ricky Council IV,1:13,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,0.3,+1,jacksre01
202411150ORL,ORL,PHI,Reggie Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,
202411150ORL,ORL,PHI,Franz Wagner,40:43,10,23,.435,5,11,.455,6,6,1.000,1,10,11,6,2,1,0,4,31,27.9,+18,wagnefr01
202411150ORL,ORL,PHI,Jalen Suggs,34:28,6,16,.375,1,8,.125,6,6,1.000,3,4,7,3,1,1,5,4,19,10.7,+8,suggsja01
202411150ORL,ORL,PHI,Kentavious Caldwell-Pope,33:25,3,9,.333,2,6,.333,0,0,,0,1,1,1,2,0,2,2,8,3.1,+8,caldwke01
202411150ORL,ORL,PHI,Goga Bitadze,26:54,1,1,1.000,0,0,,0,0,,1,3,4,1,1,2,5,2,2,0.6,-3,bitadgo01
202411150ORL,ORL,PHI,Tristan Da Silva,18:24,2,5,.400,0,3,.000,2,2,1.000,0,3,3,0,1,0,0,1,6,4.8,-10,dasiltr01
202411150ORL,ORL,PHI,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,isaacjo01
202411150ORL,ORL,PHI,Jonathan Isaac,24:53,4,6,.667,1,3,.333,2,4,.500,4,5,9,0,1,1,1,3,11,11.4,+21,wagnemo01
202411150ORL,ORL,PHI,Moritz Wagner,19:53,5,7,.714,1,2,.500,3,4,.750,1,3,4,2,1,0,1,0,14,13.7,+16,blackan01
202411150ORL,ORL,PHI,Anthony Black,19:40,2,6,.333,0,1,.000,0,0,,0,1,1,1,1,0,2,1,4,0.2,+5,harriga01
202411150ORL,ORL,PHI,Gary Harris,13:40,0,1,.000,0,0,,0,0,,1,0,1,0,1,0,0,1,0,0.6,+8,anthoco01
202411150ORL,ORL,PHI,Cole Anthony,4:19,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-8,howarje01
202411150ORL,ORL,PHI,Jett Howard,1:13,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,3.3,-1,houstca01
202411150ORL,ORL,PHI,Caleb Houstan,1:13,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-1,josepco01
202411150ORL,ORL,PHI,Cory Joseph,1:13,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-1,
202411150TOR,TOR,DET,Cade Cunningham,36:28,6,21,.286,2,9,.222,1,2,.500,2,4,6,10,1,0,4,2,15,8.1,-10,cunnica01
202411150TOR,TOR,DET,Malik Beasley,30:25,8,15,.533,4,9,.444,0,0,,0,3,3,0,1,0,0,2,20,13.8,-7,beaslma01
202411150TOR,TOR,DET,Jaden Ivey,28:24,4,13,.308,1,5,.200,5,8,.625,1,1,2,5,1,2,2,0,14,10.2,+9,iveyja01
202411150TOR,TOR,DET,Tobias Harris,27:48,5,13,.385,1,4,.250,0,0,,2,9,11,3,0,0,2,4,11,6.5,+5,harrito02
202411150TOR,TOR,DET,Jalen Duren,24:18,5,6,.833,0,0,,2,4,.500,2,6,8,1,0,1,1,5,12,10.6,-6,durenja01
202411150TOR,TOR,DET,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,moorewe01
202411150TOR,TOR,DET,Wendell Moore Jr.,30:15,4,6,.667,0,1,.000,0,1,.000,2,4,6,2,1,1,0,0,8,10.7,+18,stewais01
202411150TOR,TOR,DET,Isaiah Stewart,23:39,1,2,.500,0,1,.000,1,1,1.000,1,6,7,1,0,2,1,2,3,4.8,+9,hollaro01
202411150TOR,TOR,DET,Ron Holland,21:23,3,11,.273,0,6,.000,4,4,1.000,4,4,8,0,3,1,2,1,10,8.8,-5,sassema01
202411150TOR,TOR,DET,Marcus Sasser,17:20,3,8,.375,0,3,.000,0,0,,0,5,5,2,1,1,1,0,6,5.2,+7,jenkida01
