id,adjusted_odds,board_time,description,line_score,odds_type,projection_type,rank,start_time,stat_display_name,status,today,updated_at,duration_id,league_id,player_id,projection_type_id,stat_type_id
3443703,,2024-12-05T22:10:00-05:00,ORL,16.0,standard,Single Stat,51,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T02:04:17-05:00,11,7,217358,2,243
3443721,,2024-12-05T22:10:00-05:00,ORL,11.5,standard,Single Stat,51,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:23:25-05:00,11,7,217358,2,244
3443582,,2024-12-05T22:10:00-05:00,ORL,6.5,standard,Single Stat,51,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T10:59:15-05:00,11,7,217358,2,22
3443653,,2024-12-05T22:10:00-05:00,ORL,17.5,standard,Single Stat,51,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:08:46-05:00,11,7,217358,2,106
3443722,,2024-12-05T22:10:00-05:00,PHI,33.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T06:34:52-05:00,11,7,55372,2,244
3443704,,2024-12-05T22:10:00-05:00,PHI,33.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T06:56:53-05:00,11,7,55372,2,243
3443654,,2024-12-05T22:10:00-05:00,PHI,39.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:06:31-05:00,11,7,55372,2,106
3443538,,2024-12-05T22:10:00-05:00,PHI,27.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T05:17:07-05:00,11,7,55372,2,19
3443777,,2024-12-05T22:10:00-05:00,PHI,12.0,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Rebs+Asts,pre_game,True,2024-12-06T08:28:12-05:00,11,7,55372,2,245
3443849,,2024-12-05T22:10:00-05:00,PHI,1.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Steals,pre_game,True,2024-12-06T08:26:30-05:00,11,7,55372,2,23
3443583,,2024-12-05T22:10:00-05:00,PHI,5.5,standard,Single Stat,52,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-05T23:58:48-05:00,11,7,55372,2,22
3443705,,2024-12-05T22:10:00-05:00,ORL,16.5,standard,Single Stat,53,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T05:49:36-05:00,11,7,174595,2,243
3443655,,2024-12-05T22:10:00-05:00,ORL,17.5,standard,Single Stat,53,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:08:38-05:00,11,7,174595,2,106
3443539,,2024-12-05T22:10:00-05:00,ORL,11.0,standard,Single Stat,53,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T11:14:22-05:00,11,7,174595,2,19
3443851,,2024-12-05T22:10:00-05:00,ORL,1.5,standard,Single Stat,53,2024-12-06T19:10:00-05:00,Blks+Stls,pre_game,True,2024-12-06T00:02:57-05:00,11,7,174595,2,105
3443723,,2024-12-05T22:10:00-05:00,ORL,12.5,standard,Single Stat,53,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:23:14-05:00,11,7,174595,2,244
3443540,,2024-12-05T22:10:00-05:00,PHI,8.5,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Points,pre_game,True,2024-12-06T07:57:53-05:00,11,7,123625,2,19
3443724,,2024-12-05T22:10:00-05:00,PHI,10.5,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Pts+Asts,pre_game,True,2024-12-06T08:22:33-05:00,11,7,123625,2,244
3443656,,2024-12-05T22:10:00-05:00,PHI,17.5,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Pts+Rebs+Asts,pre_game,True,2024-12-06T08:08:12-05:00,11,7,123625,2,106
3443585,,2024-12-05T22:10:00-05:00,PHI,7.0,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T07:49:33-05:00,11,7,123625,2,22
3443852,,2024-12-05T22:10:00-05:00,PHI,2.5,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Blks+Stls,pre_game,True,2024-12-05T23:59:49-05:00,11,7,123625,2,105
3443706,,2024-12-05T22:10:00-05:00,PHI,15.5,standard,Single Stat,54,2024-12-06T19:10:00-05:00,Pts+Rebs,pre_game,True,2024-12-06T08:19:52-05:00,11,7,123625,2,243
3443586,,2024-12-05T22:10:00-05:00,ORL,5.0,standard,Single Stat,55,2024-12-06T19:10:00-05:00,Rebounds,pre_game,True,2024-12-06T09:24:35-05:00,11,7,217536,2,22
