Player,PlayerID,Age,TeamID,GP,PTS,REB,AST,STL,BLK,TOV,PF,OffREB,DefREB,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,2P,2PA,2P%,PTS_GP,REB_GP,AST_GP,STL_GP,BLK_GP,MP_GP
Buddy Hield,hieldbu01,32,GSW,20,297,69,30,16,5,23,44,14,55,464,104,228,45.6,67,153,43.8,22,24,91.7,37,75,49.3,14.85,3.45,1.5,0.8,0.25,23.2
Santi Aldama,aldamsa01,24,MEM,22,288,164,75,19,10,31,26,38,126,606,119,231,51.5,32,94,34,18,23,78.3,87,137,63.5,13.09090909,7.454545455,3.409090909,0.863636364,0.454545455,27.54545455
Josh Hart,hartjo01,29,NYK,21,288,180,120,30,8,40,50,36,144,780,112,189,59.3,26,69,37.7,38,44,86.4,86,120,71.7,13.71428571,8.571428571,5.714285714,1.428571429,0.380952381,37.14285714
Dyson Daniels,daniedy01,21,ATL,21,285,105,66,64,19,37,58,33,72,706,119,269,44.2,25,85,29.4,22,33,66.7,94,184,51.1,13.57142857,5,3.142857143,3.047619048,0.904761905,33.61904762
Jamal Murray,murraja01,27,DEN,16,283,64,100,22,10,31,29,8,56,571,101,241,41.9,32,96,33.3,49,61,80.3,69,145,47.6,17.6875,4,6.25,1.375,0.625,35.6875
Jimmy Butler,butleji01,35,MIA,15,281,81,72,19,5,21,19,38,43,476,92,168,54.8,8,22,36.4,89,114,78.1,84,146,57.5,18.73333333,5.4,4.8,1.266666667,0.333333333,31.73333333
Naz Reid,reidna01,25,MIN,21,273,104,31,16,15,26,48,14,90,515,99,206,48.1,39,106,36.8,36,40,90,60,100,60,13,4.952380952,1.476190476,0.761904762,0.714285714,24.52380952
Dillon Brooks,brookdi01,29,HOU,22,272,79,32,12,5,21,72,27,52,672,100,240,41.7,45,116,38.8,27,32,84.4,55,124,44.4,12.36363636,3.590909091,1.454545455,0.545454545,0.227272727,30.54545455
Keegan Murray,murrake02,24,SAC,22,269,170,35,15,18,24,67,55,115,811,105,252,41.7,35,122,28.7,24,29,82.8,70,130,53.8,12.22727273,7.727272727,1.590909091,0.681818182,0.818181818,36.86363636
Zaccharie Risacher,risacza01,19,ATL,23,268,82,30,20,17,26,51,29,53,554,98,239,41,31,107,29,41,60,68.3,67,132,50.8,11.65217391,3.565217391,1.304347826,0.869565217,0.739130435,24.08695652
Jaylen Wells,wellsja01,21,MEM,22,267,74,41,10,5,26,37,21,53,554,98,214,45.8,44,113,38.9,27,35,77.1,54,101,53.5,12.13636364,3.363636364,1.863636364,0.454545455,0.227272727,25.18181818
Josh Giddey,giddejo01,22,CHI,22,266,139,151,17,10,55,36,28,111,597,100,225,44.4,27,80,33.8,39,56,69.6,73,145,50.3,12.09090909,6.318181818,6.863636364,0.772727273,0.454545455,27.13636364
Ochai Agbaji,agbajoc01,24,TOR,22,265,98,46,24,14,21,57,22,76,698,104,193,53.9,43,88,48.9,14,20,70,61,105,58.1,12.04545455,4.454545455,2.090909091,1.090909091,0.636363636,31.72727273
Ayo Dosunmu,dosunay01,25,CHI,22,265,79,93,12,10,28,50,13,66,645,104,216,48.1,24,87,27.6,33,42,78.6,80,129,62,12.04545455,3.590909091,4.227272727,0.545454545,0.454545455,29.31818182
Daniel Gafford,gaffoda01,26,DAL,21,265,139,28,12,25,18,55,59,80,445,112,153,73.2,0,0,0,41,59,69.5,112,153,73.2,12.61904762,6.619047619,1.333333333,0.571428571,1.19047619,21.19047619
Deni Avdija,avdijde01,24,POR,22,264,131,70,24,18,46,46,28,103,591,86,206,41.7,29,84,34.5,63,79,79.7,57,122,46.7,12,5.954545455,3.181818182,1.090909091,0.818181818,26.86363636
Ja Morant,moranja01,25,MEM,12,264,49,103,12,4,47,19,5,44,332,89,190,46.8,15,51,29.4,71,84,84.5,74,139,53.2,22,4.083333333,8.583333333,1,0.333333333,27.66666667
D'Angelo Russell,russeda01,28,LAL,21,261,53,101,20,3,37,38,6,47,575,94,225,41.8,39,120,32.5,34,39,87.2,55,105,52.4,12.42857143,2.523809524,4.80952381,0.952380952,0.142857143,27.38095238
Kelly Oubre Jr.,oubreke01,29,PHI,20,258,97,29,23,10,26,65,29,68,618,100,227,44.1,28,91,30.8,30,40,75,72,136,52.9,12.9,4.85,1.45,1.15,0.5,30.9
Jabari Smith Jr.,smithja05,21,HOU,22,258,150,18,6,18,13,52,41,109,649,91,208,43.8,37,105,35.2,39,45,86.7,54,103,52.4,11.72727273,6.818181818,0.818181818,0.272727273,0.818181818,29.5
Brook Lopez,lopezbr01,36,MIL,21,250,106,38,26,51,23,51,26,80,691,93,196,47.4,41,114,36,23,32,71.9,52,82,63.4,11.9047619,5.047619048,1.80952381,1.238095238,2.428571429,32.9047619
Bobby Portis,portibo01,29,MIL,20,250,142,30,11,10,25,31,33,109,471,105,230,45.7,22,64,34.4,18,24,75,83,166,50,12.5,7.1,1.5,0.55,0.5,23.55
Amen Thompson,thompam01,22,HOU,22,250,152,44,26,20,39,56,49,103,584,92,167,55.1,6,22,27.3,60,86,69.8,86,145,59.3,11.36363636,6.909090909,2,1.181818182,0.909090909,26.54545455
Tari Eason,easonta01,23,HOU,22,249,142,24,46,23,20,52,50,92,504,98,206,47.6,20,66,30.3,33,43,76.7,78,140,55.7,11.31818182,6.454545455,1.090909091,2.090909091,1.045454545,22.90909091
Derrick Jones Jr.,jonesde02,27,LAC,24,249,84,23,32,5,27,52,30,54,613,96,193,49.7,30,72,41.7,27,31,87.1,66,121,54.5,10.375,3.5,0.958333333,1.333333333,0.208333333,25.54166667
Jonathan Kuminga,kuminjo01,22,GSW,18,249,75,33,19,8,24,36,19,56,416,94,215,43.7,19,64,29.7,42,71,59.2,75,151,49.7,13.83333333,4.166666667,1.833333333,1.055555556,0.444444444,23.11111111
Shaedon Sharpe,sharpsh01,21,POR,14,249,45,31,13,3,29,24,11,34,427,89,202,44.1,25,85,29.4,46,57,80.7,64,117,54.7,17.78571429,3.214285714,2.214285714,0.928571429,0.214285714,30.5
Julian Champagnie,champju02,23,SAS,21,248,111,34,19,13,24,30,19,92,616,85,198,42.9,50,144,34.7,28,31,90.3,35,54,64.8,11.80952381,5.285714286,1.619047619,0.904761905,0.619047619,29.33333333
Scotty Pippen Jr.,pippesc02,24,MEM,22,248,84,119,26,8,45,60,15,69,530,94,196,48,24,66,36.4,36,48,75,70,130,53.8,11.27272727,3.818181818,5.409090909,1.181818182,0.363636364,24.09090909
Ty Jerome,jeromty01,27,CLE,21,247,41,76,29,1,28,32,9,32,395,90,158,57,33,66,50,34,38,89.5,57,92,62,11.76190476,1.952380952,3.619047619,1.380952381,0.047619048,18.80952381
Amir Coffey,coffeam01,27,LAC,24,245,62,31,14,1,17,34,15,47,576,86,177,48.6,40,93,43,33,39,84.6,46,84,54.8,10.20833333,2.583333333,1.291666667,0.583333333,0.041666667,24
