Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2024-25,202411080CHO,11/8/2024,CHO vs IND,Pascal Siakam,siakapa01,Indiana Pacers,IND,0,CHO,27,4,3,3,0,2,33.61666667,0,4,11,17,5,7,0,2,2
2024-25,202411080CHO,11/8/2024,CHO vs IND,Myles Turner,turnemy01,Indiana Pacers,IND,0,CHO,12,10,1,1,2,3,31.86666667,4,6,5,13,1,3,1,4,2
2024-25,202411080CHO,11/8/2024,CHO vs IND,Ben Sheppard,sheppbe01,Indiana Pacers,IND,0,CHO,2,3,3,1,0,0,30.96666667,0,3,1,7,0,4,0,0,5
2024-25,202411080CHO,11/8/2024,CHO vs IND,Obi Toppin,toppiob01,Indiana Pacers,IND,0,CHO,2,2,1,1,0,1,20.61666667,1,1,1,4,0,2,0,0,0
2024-25,202411080CHO,11/8/2024,CHO vs IND,Quenton Jackson,jacksqu01,Indiana Pacers,IND,0,CHO,7,2,2,0,0,2,19.78333333,0,2,3,7,1,3,0,0,2
2024-25,202411080CHO,11/8/2024,CHO vs IND,Jarace Walker,walkeja02,Indiana Pacers,IND,0,CHO,5,2,3,0,1,1,17.83333333,0,2,2,5,0,1,1,1,2
2024-25,202411080CHO,11/8/2024,CHO vs IND,Enrique Freeman,freemen01,Indiana Pacers,IND,0,CHO,0,0,0,1,0,0,8.95,0,0,0,1,0,1,0,0,0
2024-25,202411080CHO,11/8/2024,CHO vs IND,Johnny Furphy,furphjo01,Indiana Pacers,IND,0,CHO,0,1,0,0,0,0,3.883333333,0,1,0,1,0,1,0,0,0
2024-25,202411080CHO,11/8/2024,CHO vs IND,James Johnson,johnsja01,Indiana Pacers,IND,0,CHO,0,0,0,0,0,0,2.183333333,0,0,0,1,0,1,0,0,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Darius Garland,garlada01,Cleveland Cavaliers,CLE,1,GSW,27,3,6,3,0,4,30.28333333,0,3,9,17,6,11,3,4,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Jarrett Allen,allenja01,Cleveland Cavaliers,CLE,1,GSW,13,12,3,0,1,3,30.28333333,4,8,5,7,0,0,3,5,1
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Isaac Okoro,okorois01,Cleveland Cavaliers,CLE,1,GSW,16,1,4,0,1,0,26.5,1,0,6,10,4,6,0,0,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Evan Mobley,mobleev01,Cleveland Cavaliers,CLE,1,GSW,23,4,4,1,2,2,26.43333333,0,4,7,12,0,3,9,10,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Donovan Mitchell,mitchdo01,Cleveland Cavaliers,CLE,1,GSW,12,5,4,0,0,4,26.43333333,0,5,4,13,2,7,2,2,4
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Ty Jerome,jeromty01,Cleveland Cavaliers,CLE,1,GSW,20,1,3,0,0,3,21.25,1,0,7,8,3,3,3,3,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Caris LeVert,leverca01,Cleveland Cavaliers,CLE,1,GSW,8,7,4,3,1,1,21.21666667,2,5,2,5,2,3,2,2,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Dean Wade,wadede01,Cleveland Cavaliers,CLE,1,GSW,3,6,2,0,2,0,18.33333333,1,5,1,1,1,1,0,0,1
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Sam Merrill,merrisa01,Cleveland Cavaliers,CLE,1,GSW,5,2,1,0,0,0,14.6,0,2,1,4,1,4,2,2,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Georges Niang,niangge01,Cleveland Cavaliers,CLE,1,GSW,7,2,1,0,0,1,14.36666667,0,2,3,4,1,2,0,0,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Craig Porter Jr.,portecr01,Cleveland Cavaliers,CLE,1,GSW,2,0,1,0,0,0,3.433333333,0,0,1,1,0,0,0,0,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Tristan Thompson,thomptr01,Cleveland Cavaliers,CLE,1,GSW,0,0,0,0,0,0,3.433333333,0,0,0,1,0,0,0,0,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Jaylon Tyson,tysonja01,Cleveland Cavaliers,CLE,1,GSW,0,0,0,0,0,1,3.433333333,0,0,0,2,0,2,0,0,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Stephen Curry,curryst01,Golden State Warriors,GSW,0,CLE,12,1,2,2,0,6,23.76666667,0,1,5,10,1,4,1,1,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Andrew Wiggins,wiggian01,Golden State Warriors,GSW,0,CLE,11,1,2,1,0,1,20.81666667,1,0,4,9,1,3,2,2,0
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Draymond Green,greendr01,Golden State Warriors,GSW,0,CLE,6,2,6,3,0,2,20.53333333,0,2,2,7,2,5,0,0,4
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Trayce Jackson-Davis,jackstr02,Golden State Warriors,GSW,0,CLE,3,5,4,0,1,1,16.18333333,2,3,1,3,0,0,1,1,3
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Gary Payton II,paytoga02,Golden State Warriors,GSW,0,CLE,8,2,1,0,1,0,9.8,1,1,4,4,0,0,0,1,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Jonathan Kuminga,kuminjo01,Golden State Warriors,GSW,0,CLE,21,5,5,2,1,3,29.08333333,1,4,7,14,3,7,4,6,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Brandin Podziemski,podzibr01,Golden State Warriors,GSW,0,CLE,14,7,4,4,0,1,26.5,2,5,6,12,1,6,1,2,1
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Buddy Hield,hieldbu01,Golden State Warriors,GSW,0,CLE,3,2,1,0,0,1,19.35,0,2,1,4,1,4,0,0,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,De'Anthony Melton,meltode01,Golden State Warriors,GSW,0,CLE,10,2,3,0,0,1,17.8,2,0,4,11,2,6,0,0,4
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Moses Moody,moodymo01,Golden State Warriors,GSW,0,CLE,11,2,1,0,0,1,16.93333333,0,2,5,10,1,3,0,0,1
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Kevon Looney,looneke01,Golden State Warriors,GSW,0,CLE,9,7,1,2,0,0,15.66666667,1,6,4,6,0,0,1,1,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Kyle Anderson,anderky01,Golden State Warriors,GSW,0,CLE,4,3,2,0,1,0,14.1,0,3,2,5,0,2,0,0,2
2024-25,202411080CLE,11/8/2024,CLE vs GSW,Gui Santos,santogu01,Golden State Warriors,GSW,0,CLE,3,1,0,0,0,0,4.733333333,1,0,1,1,1,1,0,0,0
