Season,GameID,Date,Game,Player,PlayerID,Team,TeamID,Is_Home,Opp,PTS,REB,AST,STL,BLK,TOV,MP,OffREB,DefREB,FG,FGA,3P,3PA,FT,FTA,PF
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Leonard Miller,millele01,Minnesota Timberwolves,MIN,1,TOR,5,1,2,1,0,0,5.133333333,0,1,2,2,1,1,0,0,0
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Josh Minott,minotjo01,Minnesota Timberwolves,MIN,1,TOR,2,1,1,1,0,0,6.766666667,0,1,1,2,0,0,0,0,3
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Wendell Moore Jr.,moorewe01,Minnesota Timberwolves,MIN,1,TOR,2,3,2,0,0,0,8.183333333,0,3,1,2,0,0,0,0,0
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Daishen Nix,nixda01,Minnesota Timberwolves,MIN,1,TOR,0,1,3,1,0,1,6.766666667,0,1,0,2,0,1,0,0,0
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Jordan McLaughlin,mclaujo01,Minnesota Timberwolves,MIN,1,TOR,0,0,3,0,0,0,16.56666667,0,0,0,2,0,2,0,0,0
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Gradey Dick,dickgr01,Toronto Raptors,TOR,0,MIN,16,8,0,1,0,4,33.78333333,0,8,6,17,1,6,3,3,2
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Immanuel Quickley,quickim01,Toronto Raptors,TOR,0,MIN,16,1,3,1,0,1,28.61666667,0,1,7,17,2,7,0,0,1
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Jalen McDaniels,mcdanja01,Toronto Raptors,TOR,0,MIN,13,8,4,0,0,3,37.25,2,6,6,15,0,1,1,1,4
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Garrett Temple,templga01,Toronto Raptors,TOR,0,MIN,7,2,0,0,1,1,33.51666667,1,1,3,11,1,5,0,0,3
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Javon Freeman-Liberty,freemja01,Toronto Raptors,TOR,0,MIN,16,5,6,1,0,5,27.28333333,0,5,6,10,2,4,2,2,1
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Jordan Nwora,nworajo01,Toronto Raptors,TOR,0,MIN,14,13,5,0,0,4,29.66666667,3,10,4,9,1,4,5,6,0
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Malik Williams,willima11,Toronto Raptors,TOR,0,MIN,0,5,1,1,2,1,31.11666667,1,4,0,7,0,2,0,0,1
2023-24,202404030MIN,4/3/2024,MIN vs TOR,Mouhamadou Gueye,gueyemo01,Toronto Raptors,TOR,0,MIN,3,6,0,0,3,1,18.76666667,3,3,1,4,0,1,1,2,3
2023-24,202404030NOP,4/3/2024,NOP vs ORL,CJ McCollum,mccolcj01,New Orleans Pelicans,NOP,1,ORL,36,10,4,2,0,4,41.08333333,2,8,10,24,5,12,11,11,3
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Zion Williamson,willizi01,New Orleans Pelicans,NOP,1,ORL,15,2,5,2,1,2,29.31666667,0,2,7,16,0,0,1,4,4
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Dyson Daniels,daniedy01,New Orleans Pelicans,NOP,1,ORL,16,2,3,2,0,1,21.35,0,2,6,8,4,5,0,0,5
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Trey Murphy III,murphtr02,New Orleans Pelicans,NOP,1,ORL,14,7,2,1,0,0,37.16666667,1,6,3,7,2,6,6,7,2
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Jonas Valanciunas,valanjo01,New Orleans Pelicans,NOP,1,ORL,11,6,1,0,0,1,18.53333333,1,5,4,6,0,0,3,3,2
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Naji Marshall,marshna01,New Orleans Pelicans,NOP,1,ORL,8,3,3,1,0,1,25.96666667,1,2,3,5,1,1,1,1,3
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Herbert Jones,joneshe01,New Orleans Pelicans,NOP,1,ORL,6,0,1,1,0,1,40.71666667,0,0,2,5,0,1,2,2,4
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Jeremiah Robinson-Earl,robinje02,New Orleans Pelicans,NOP,1,ORL,0,4,1,0,0,2,12.31666667,1,3,0,3,0,3,0,0,1
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Larry Nance Jr.,nancela02,New Orleans Pelicans,NOP,1,ORL,2,1,1,0,0,2,13.25,1,0,1,2,0,1,0,0,2
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Jordan Hawkins,hawkijo01,New Orleans Pelicans,NOP,1,ORL,0,0,0,0,0,0,0.116666667,0,0,0,0,0,0,0,0,0
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Matt Ryan,ryanma01,New Orleans Pelicans,NOP,1,ORL,0,0,0,0,0,0,0.116666667,0,0,0,0,0,0,0,0,0
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Paolo Banchero,banchpa01,Orlando Magic,ORL,0,NOP,32,6,4,1,0,3,37.75,1,5,10,24,2,6,10,13,2
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Franz Wagner,wagnefr01,Orlando Magic,ORL,0,NOP,24,2,5,0,1,4,33.18333333,0,2,8,14,3,6,5,6,1
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Moritz Wagner,wagnemo01,Orlando Magic,ORL,0,NOP,18,3,1,0,0,0,14.93333333,1,2,7,9,1,2,3,3,1
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Wendell Carter Jr.,cartewe01,Orlando Magic,ORL,0,NOP,14,11,3,0,0,2,24.15,2,9,5,7,3,4,1,2,3
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Jalen Suggs,suggsja01,Orlando Magic,ORL,0,NOP,7,4,2,2,0,1,30,1,3,3,6,1,2,0,2,4
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Cole Anthony,anthoco01,Orlando Magic,ORL,0,NOP,5,2,6,2,0,1,18,0,2,2,6,1,3,0,0,0
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Jonathan Isaac,isaacjo01,Orlando Magic,ORL,0,NOP,8,5,2,1,1,0,21.88333333,1,4,3,5,1,3,1,2,1
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Markelle Fultz,fultzma01,Orlando Magic,ORL,0,NOP,5,1,0,1,0,1,14.8,0,1,2,3,0,0,1,1,4
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Joe Ingles,inglejo01,Orlando Magic,ORL,0,NOP,4,3,2,2,0,0,15.1,0,3,1,3,1,3,1,1,0
2023-24,202404030NOP,4/3/2024,NOP vs ORL,Gary Harris,harriga01,Orlando Magic,ORL,0,NOP,0,2,2,0,0,1,30.18333333,1,1,0,3,0,3,0,0,4
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Donovan Mitchell,mitchdo01,Cleveland Cavaliers,CLE,0,PHO,24,3,2,2,2,1,37.9,0,3,8,17,2,7,6,6,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Darius Garland,garlada01,Cleveland Cavaliers,CLE,0,PHO,15,1,8,2,0,3,39.81666667,0,1,7,17,1,4,0,0,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Jarrett Allen,allenja01,Cleveland Cavaliers,CLE,0,PHO,20,5,4,0,0,0,37.26666667,3,2,9,15,0,0,2,2,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Evan Mobley,mobleev01,Cleveland Cavaliers,CLE,0,PHO,20,9,5,1,1,2,36.08333333,2,7,8,13,1,2,3,3,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Max Strus,strusma01,Cleveland Cavaliers,CLE,0,PHO,9,12,8,1,1,4,38.48333333,1,11,4,9,1,5,0,0,3
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Caris LeVert,leverca01,Cleveland Cavaliers,CLE,0,PHO,11,3,1,3,0,5,24.03333333,0,3,3,5,2,4,3,4,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Georges Niang,niangge01,Cleveland Cavaliers,CLE,0,PHO,0,2,0,0,0,0,11.35,0,2,0,4,0,3,0,0,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Sam Merrill,merrisa01,Cleveland Cavaliers,CLE,0,PHO,2,0,0,0,0,0,4.816666667,0,0,0,2,0,1,2,2,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Tristan Thompson,thomptr01,Cleveland Cavaliers,CLE,0,PHO,0,0,0,0,0,0,1.45,0,0,0,1,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Damian Jones,jonesda03,Cleveland Cavaliers,CLE,0,PHO,0,2,0,0,0,0,1.45,1,1,0,0,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Pete Nance,nancepe01,Cleveland Cavaliers,CLE,0,PHO,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,2,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Isaiah Mobley,mobleis01,Cleveland Cavaliers,CLE,0,PHO,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Marcus Morris,morrima03,Cleveland Cavaliers,CLE,0,PHO,0,0,0,0,0,0,4.433333333,0,0,0,0,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Devin Booker,bookede01,Phoenix Suns,PHO,1,CLE,40,1,8,1,0,4,36.88333333,0,1,13,25,5,9,9,9,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Kevin Durant,duranke01,Phoenix Suns,PHO,1,CLE,32,6,7,1,0,4,35.65,0,6,13,23,3,7,3,4,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Royce O'Neale,onealro01,Phoenix Suns,PHO,1,CLE,17,6,2,1,0,1,34.55,0,6,6,9,5,7,0,0,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Bradley Beal,bealbr01,Phoenix Suns,PHO,1,CLE,7,6,7,2,0,1,32.43333333,2,4,3,9,1,3,0,0,3
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Bol Bol,bolbo01,Phoenix Suns,PHO,1,CLE,15,6,1,2,2,2,22.21666667,1,5,5,8,3,4,2,2,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Drew Eubanks,eubandr01,Phoenix Suns,PHO,1,CLE,4,5,0,1,0,0,14.88333333,1,4,2,4,0,0,0,0,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Jusuf Nurkic,nurkiju01,Phoenix Suns,PHO,1,CLE,2,10,6,2,0,2,31.66666667,4,6,0,4,0,0,2,2,2
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Eric Gordon,gordoer01,Phoenix Suns,PHO,1,CLE,3,1,1,1,0,1,24.45,0,1,1,3,1,3,0,0,3
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Saben Lee,leesa01,Phoenix Suns,PHO,1,CLE,2,0,0,0,0,0,1.45,0,0,1,1,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Udoka Azubuike,azubuud01,Phoenix Suns,PHO,1,CLE,0,0,0,0,0,0,1.45,0,0,0,1,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,David Roddy,roddyda01,Phoenix Suns,PHO,1,CLE,0,1,0,0,0,0,1.45,0,1,0,0,0,0,0,0,1
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Nassir Little,littlna01,Phoenix Suns,PHO,1,CLE,0,1,0,0,0,0,1.45,0,1,0,0,0,0,0,0,0
2023-24,202404030PHO,4/3/2024,PHO vs CLE,Isaiah Thomas,thomais02,Phoenix Suns,PHO,1,CLE,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,LeBron James,jamesle01,Los Angeles Lakers,LAL,0,WAS,25,7,9,3,0,4,36.18333333,2,5,9,18,0,1,7,9,2
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Anthony Davis,davisan02,Los Angeles Lakers,LAL,0,WAS,35,18,1,2,3,2,38.13333333,3,15,10,17,0,1,15,15,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,D'Angelo Russell,russeda01,Los Angeles Lakers,LAL,0,WAS,18,3,2,2,0,2,37.53333333,0,3,7,16,4,10,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Austin Reaves,reaveau01,Los Angeles Lakers,LAL,0,WAS,16,4,4,2,0,1,35.03333333,2,2,7,15,2,6,0,0,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Rui Hachimura,hachiru01,Los Angeles Lakers,LAL,0,WAS,19,7,1,0,1,2,27.46666667,2,5,9,12,1,2,0,1,2
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Taurean Prince,princta02,Los Angeles Lakers,LAL,0,WAS,5,7,1,1,0,1,15.9,1,6,2,4,1,3,0,0,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Spencer Dinwiddie,dinwisp01,Los Angeles Lakers,LAL,0,WAS,4,2,1,0,0,1,19.15,0,2,1,4,0,3,2,2,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Max Christie,chrisma02,Los Angeles Lakers,LAL,0,WAS,0,0,0,0,0,0,4.233333333,0,0,0,3,0,1,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Jaxson Hayes,hayesja02,Los Angeles Lakers,LAL,0,WAS,3,0,2,0,0,1,9.85,0,0,1,1,0,0,1,2,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Gabe Vincent,vincega01,Los Angeles Lakers,LAL,0,WAS,0,1,0,0,0,1,14.35,1,0,0,1,0,1,0,0,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Maxwell Lewis,lewisma05,Los Angeles Lakers,LAL,0,WAS,0,0,0,0,0,1,1.05,0,0,0,0,0,0,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Colin Castleton,castlco01,Los Angeles Lakers,LAL,0,WAS,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Jordan Poole,poolejo01,Washington Wizards,WAS,1,LAL,29,2,5,2,0,3,34.01666667,0,2,10,19,5,9,4,4,1
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Kyle Kuzma,kuzmaky01,Washington Wizards,WAS,1,LAL,17,12,3,1,1,4,38.55,0,12,7,16,2,5,1,1,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Corey Kispert,kispeco01,Washington Wizards,WAS,1,LAL,17,3,3,0,0,4,34.85,0,3,7,10,3,4,0,0,4
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Tristan Vukcevic,vukcetr01,Washington Wizards,WAS,1,LAL,15,3,1,0,1,1,20.53333333,1,2,5,9,3,6,2,2,5
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Justin Champagnie,champju01,Washington Wizards,WAS,1,LAL,13,7,2,1,0,0,18.58333333,3,4,5,8,3,5,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Jared Butler,butleja02,Washington Wizards,WAS,1,LAL,9,3,7,3,1,3,29.33333333,0,3,3,8,1,5,2,2,4
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Anthony Gill,gillan01,Washington Wizards,WAS,1,LAL,6,2,3,1,0,0,20.73333333,1,1,3,7,0,2,0,0,4
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Eugene Omoruyi,omorueu01,Washington Wizards,WAS,1,LAL,4,2,0,1,1,0,10.48333333,0,2,2,6,0,2,0,0,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Deni Avdija,avdijde01,Washington Wizards,WAS,1,LAL,7,2,2,1,0,2,21.6,1,1,2,5,1,2,2,3,0
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Patrick Baldwin Jr.,baldwpa01,Washington Wizards,WAS,1,LAL,3,3,0,1,0,1,9.95,0,3,1,3,0,2,1,1,4
2023-24,202404030WAS,4/3/2024,WAS vs LAL,Jules Bernard,bernaju01,Washington Wizards,WAS,1,LAL,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,0
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Nikola Jokic,jokicni01,Denver Nuggets,DEN,1,SAS,42,16,6,1,2,4,37.58333333,4,12,18,32,1,6,5,6,2
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Michael Porter Jr.,portemi01,Denver Nuggets,DEN,1,SAS,15,16,3,1,1,1,35.23333333,2,14,5,16,3,8,2,3,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Reggie Jackson,jacksre01,Denver Nuggets,DEN,1,SAS,9,0,3,0,1,2,25.88333333,0,0,4,13,1,3,0,0,2
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Aaron Gordon,gordoaa01,Denver Nuggets,DEN,1,SAS,23,7,4,1,1,0,33.05,2,5,9,12,2,4,3,3,3
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Kentavious Caldwell-Pope,caldwke01,Denver Nuggets,DEN,1,SAS,4,0,2,1,1,0,32.75,0,0,1,8,1,5,1,2,2
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Peyton Watson,watsope01,Denver Nuggets,DEN,1,SAS,7,6,2,0,2,1,19.81666667,2,4,3,6,1,3,0,0,3
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Justin Holiday,holidju01,Denver Nuggets,DEN,1,SAS,5,3,1,1,2,0,22.65,1,2,2,6,1,2,0,0,0
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Christian Braun,braunch01,Denver Nuggets,DEN,1,SAS,5,2,7,0,0,0,27.46666667,0,2,1,5,1,3,2,2,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,DeAndre Jordan,jordade01,Denver Nuggets,DEN,1,SAS,0,2,0,0,0,0,5.55,0,2,0,0,0,0,0,0,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Victor Wembanyama,wembavi01,San Antonio Spurs,SAS,0,DEN,23,15,8,1,9,2,33.95,5,10,9,29,2,11,3,6,3
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Malaki Branham,branhma01,San Antonio Spurs,SAS,0,DEN,24,3,1,0,0,1,37.08333333,0,3,10,19,3,8,1,2,4
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Zach Collins,colliza01,San Antonio Spurs,SAS,0,DEN,13,8,2,0,1,0,17.6,1,7,6,11,1,3,0,1,3
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Tre Jones,jonestr01,San Antonio Spurs,SAS,0,DEN,10,12,11,1,1,0,32.3,3,9,4,11,2,5,0,0,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Julian Champagnie,champju02,San Antonio Spurs,SAS,0,DEN,11,5,2,1,1,1,37.26666667,1,4,4,10,1,4,2,3,0
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Sandro Mamukelashvili,mamuksa01,San Antonio Spurs,SAS,0,DEN,10,9,1,0,0,1,24.11666667,5,4,3,8,2,4,2,2,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Cedi Osman,osmande01,San Antonio Spurs,SAS,0,DEN,10,3,1,0,0,0,18.21666667,0,3,4,7,2,4,0,0,1
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Blake Wesley,weslebl01,San Antonio Spurs,SAS,0,DEN,2,1,4,0,0,2,15.06666667,0,1,1,5,0,1,0,2,2
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Devonte Graham,grahade01,San Antonio Spurs,SAS,0,DEN,2,2,3,1,0,0,19.38333333,0,2,1,5,0,4,0,0,3
2023-24,202404020DEN,4/2/2024,DEN vs SAS,Sidy Cissoko,cissosi01,San Antonio Spurs,SAS,0,DEN,0,1,0,0,0,0,5.016666667,0,1,0,0,0,0,0,0,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Luka Doncic,doncilu01,Dallas Mavericks,DAL,0,GSW,30,12,11,0,0,5,39.2,1,11,11,22,5,11,3,4,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Kyrie Irving,irvinky01,Dallas Mavericks,DAL,0,GSW,27,1,2,3,1,4,38.8,0,1,10,19,4,8,3,3,3
2023-24,202404020GSW,4/2/2024,GSW vs DAL,P.J. Washington,washipj01,Dallas Mavericks,DAL,0,GSW,20,5,0,3,1,2,35.68333333,0,5,8,19,3,10,1,2,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Daniel Gafford,gaffoda01,Dallas Mavericks,DAL,0,GSW,10,8,3,1,0,1,27.05,3,5,5,8,0,0,0,0,5
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Tim Hardaway Jr.,hardati02,Dallas Mavericks,DAL,0,GSW,7,3,3,0,0,0,26.4,0,3,3,6,1,4,0,0,0
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Jaden Hardy,hardyja02,Dallas Mavericks,DAL,0,GSW,3,1,0,0,0,0,8.35,0,1,1,4,1,3,0,0,0
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Derrick Jones Jr.,jonesde02,Dallas Mavericks,DAL,0,GSW,0,3,1,0,2,1,18.03333333,1,2,0,4,0,1,0,0,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Maxi Kleber,klebima01,Dallas Mavericks,DAL,0,GSW,0,3,2,1,3,0,16.68333333,1,2,0,4,0,1,0,0,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Dante Exum,exumda01,Dallas Mavericks,DAL,0,GSW,3,3,4,0,0,2,21.11666667,1,2,1,3,1,2,0,0,2
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Dwight Powell,poweldw01,Dallas Mavericks,DAL,0,GSW,0,3,1,0,0,0,8.633333333,1,2,0,0,0,0,0,2,0
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Stephen Curry,curryst01,Golden State Warriors,GSW,1,DAL,13,7,7,1,2,4,31.56666667,0,7,5,18,3,5,0,0,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Andrew Wiggins,wiggian01,Golden State Warriors,GSW,1,DAL,23,4,2,1,1,3,32.73333333,2,2,8,16,3,5,4,4,1
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Klay Thompson,thompkl01,Golden State Warriors,GSW,1,DAL,14,3,2,1,0,2,28.25,0,3,5,14,2,8,2,2,3
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Chris Paul,paulch01,Golden State Warriors,GSW,1,DAL,14,1,5,0,0,0,19.58333333,0,1,6,11,2,3,0,0,0
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Moses Moody,moodymo01,Golden State Warriors,GSW,1,DAL,12,3,0,1,0,0,20.18333333,0,3,4,8,4,6,0,0,2
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Draymond Green,greendr01,Golden State Warriors,GSW,1,DAL,11,8,6,4,1,3,30.75,3,5,5,8,0,1,1,1,3
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Gary Payton II,paytoga02,Golden State Warriors,GSW,1,DAL,8,2,0,1,0,0,15.61666667,1,1,4,8,0,3,0,0,4
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Brandin Podziemski,podzibr01,Golden State Warriors,GSW,1,DAL,5,10,5,0,0,1,30.66666667,1,9,2,4,1,1,0,0,3
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Trayce Jackson-Davis,jackstr02,Golden State Warriors,GSW,1,DAL,4,10,1,0,0,3,21.03333333,2,8,2,3,0,0,0,0,0
2023-24,202404020GSW,4/2/2024,GSW vs DAL,Kevon Looney,looneke01,Golden State Warriors,GSW,1,DAL,0,4,1,0,0,1,9.566666667,2,2,0,0,0,0,0,0,1
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Terry Rozier,roziete01,Miami Heat,MIA,1,NYK,34,5,3,0,1,3,34.9,0,5,10,15,8,11,6,6,0
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Jimmy Butler,butleji01,Miami Heat,MIA,1,NYK,17,5,6,0,0,4,38.68333333,1,4,5,12,1,3,6,6,3
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Haywood Highsmith,highsha01,Miami Heat,MIA,1,NYK,14,8,1,1,0,0,28.06666667,4,4,6,11,2,4,0,0,2
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Bam Adebayo,adebaba01,Miami Heat,MIA,1,NYK,15,9,1,1,0,1,32.53333333,2,7,6,9,0,0,3,4,0
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Kevin Love,loveke01,Miami Heat,MIA,1,NYK,8,3,3,0,1,1,15.5,0,3,2,8,2,7,2,2,1
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Caleb Martin,martica02,Miami Heat,MIA,1,NYK,7,2,3,0,2,3,23.58333333,0,2,3,8,1,3,0,0,4
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Duncan Robinson,robindu01,Miami Heat,MIA,1,NYK,6,2,1,1,0,2,28.98333333,0,2,2,7,2,7,0,0,4
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Nikola Jovic,jovicni01,Miami Heat,MIA,1,NYK,5,3,6,1,0,1,25.3,0,3,1,2,1,2,2,2,1
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Jaime Jaquez Jr.,jaqueja01,Miami Heat,MIA,1,NYK,3,2,0,1,0,2,12.41666667,0,2,1,2,0,1,1,1,2
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Donte DiVincenzo,divindo01,New York Knicks,NYK,0,MIA,31,4,4,4,0,4,35.25,0,4,11,21,6,15,3,3,3
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Jalen Brunson,brunsja01,New York Knicks,NYK,0,MIA,20,2,10,0,0,5,36.31666667,0,2,5,18,1,6,9,10,2
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Miles McBride,mcbrimi01,New York Knicks,NYK,0,MIA,24,2,2,0,1,2,44.75,0,2,9,16,4,8,2,2,3
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Bojan Bogdanovic,bogdabo02,New York Knicks,NYK,0,MIA,16,6,0,0,0,1,19.43333333,2,4,6,10,1,4,3,4,1
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Precious Achiuwa,achiupr01,New York Knicks,NYK,0,MIA,2,6,0,1,0,0,26.93333333,3,3,1,4,0,0,0,0,2
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Josh Hart,hartjo01,New York Knicks,NYK,0,MIA,2,6,7,2,0,2,45.58333333,1,5,1,3,0,0,0,0,3
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Isaiah Hartenstein,harteis01,New York Knicks,NYK,0,MIA,4,1,2,3,1,0,18.33333333,0,1,2,2,0,0,0,0,1
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Mitchell Robinson,robinmi01,New York Knicks,NYK,0,MIA,0,1,0,1,0,0,10.13333333,1,0,0,1,0,0,0,2,2
2023-24,202404020MIA,4/2/2024,MIA vs NYK,Alec Burks,burksal01,New York Knicks,NYK,0,MIA,0,2,0,0,0,0,3.25,0,2,0,1,0,1,0,0,0
2023-24,202404020MIN,4/2/2024,MIN vs HOU,Jalen Green,greenja05,Houston Rockets,HOU,0,MIN,26,5,6,0,0,5,38.25,1,4,10,22,2,11,4,4,4
2023-24,202404020MIN,4/2/2024,MIN vs HOU,Fred VanVleet,vanvlfr01,Houston Rockets,HOU,0,MIN,22,5,5,5,0,1,40.58333333,2,3,9,20,4,13,0,1,5
