Season,Date,Game,GameID,Home,HomeID,PTS,Away,AwayID,PTSA
2023-24,3/31/2024,SAC vs UTA,202403310SAC,Sacramento Kings,SAC,127,Utah Jazz,UTA,106
2023-24,3/31/2024,SAS vs GSW,202403310SAS,San Antonio Spurs,SAS,113,Golden State Warriors,GSW,117
2023-24,3/31/2024,TOR vs PHI,202403310TOR,Toronto Raptors,TOR,120,Philadelphia 76ers,PHI,135
2023-24,3/31/2024,WAS vs MIA,202403310WAS,Washington Wizards,WAS,107,Miami Heat,MIA,119
2023-24,3/30/2024,ATL vs MIL,202403300ATL,Atlanta Hawks,ATL,113,Milwaukee Bucks,MIL,122
2023-24,3/30/2024,NOP vs BOS,202403300NOP,New Orleans Pelicans,NOP,92,Boston Celtics,BOS,104
2023-24,3/30/2024,ORL vs MEM,202403300ORL,Orlando Magic,ORL,118,Memphis Grizzlies,MEM,88
2023-24,3/29/2024,BRK vs CHI,202403290BRK,Brooklyn Nets,BRK,125,Chicago Bulls,CHI,108
2023-24,3/29/2024,CHO vs GSW,202403290CHO,Charlotte Hornets,CHO,97,Golden State Warriors,GSW,115
2023-24,3/29/2024,CLE vs PHI,202403290CLE,Cleveland Cavaliers,CLE,117,Philadelphia 76ers,PHI,114
2023-24,3/29/2024,DEN vs MIN,202403290DEN,Denver Nuggets,DEN,98,Minnesota Timberwolves,MIN,111
2023-24,3/29/2024,IND vs LAL,202403290IND,Indiana Pacers,IND,109,Los Angeles Lakers,LAL,90
2023-24,3/29/2024,MIA vs POR,202403290MIA,Miami Heat,MIA,142,Portland Trail Blazers,POR,82
2023-24,3/29/2024,OKC vs PHO,202403290OKC,Oklahoma City Thunder,OKC,128,Phoenix Suns,PHO,103
2023-24,3/29/2024,ORL vs LAC,202403290ORL,Orlando Magic,ORL,97,Los Angeles Clippers,LAC,100
2023-24,3/29/2024,SAC vs DAL,202403290SAC,Sacramento Kings,SAC,103,Dallas Mavericks,DAL,107
2023-24,3/29/2024,SAS vs NYK,202403290SAS,San Antonio Spurs,SAS,130,New York Knicks,NYK,126
2023-24,3/29/2024,UTA vs HOU,202403290UTA,Utah Jazz,UTA,100,Houston Rockets,HOU,101
2023-24,3/29/2024,WAS vs DET,202403290WAS,Washington Wizards,WAS,87,Detroit Pistons,DET,96
2023-24,3/28/2024,ATL vs BOS,202403280ATL,Atlanta Hawks,ATL,123,Boston Celtics,BOS,122
2023-24,3/28/2024,NOP vs MIL,202403280NOP,New Orleans Pelicans,NOP,107,Milwaukee Bucks,MIL,100
2023-24,3/27/2024,ATL vs POR,202403270ATL,Atlanta Hawks,ATL,120,Portland Trail Blazers,POR,106
2023-24,3/27/2024,CHI vs IND,202403270CHI,Chicago Bulls,CHI,125,Indiana Pacers,IND,99
2023-24,3/27/2024,CHO vs CLE,202403270CHO,Charlotte Hornets,CHO,118,Cleveland Cavaliers,CLE,111
2023-24,3/27/2024,DEN vs PHO,202403270DEN,Denver Nuggets,DEN,97,Phoenix Suns,PHO,104
2023-24,3/27/2024,MEM vs LAL,202403270MEM,Memphis Grizzlies,MEM,124,Los Angeles Lakers,LAL,136
2023-24,3/27/2024,MIN vs DET,202403270MIN,Minnesota Timberwolves,MIN,106,Detroit Pistons,DET,91
2023-24,3/27/2024,OKC vs HOU,202403270OKC,Oklahoma City Thunder,OKC,126,Houston Rockets,HOU,132
2023-24,3/27/2024,ORL vs GSW,202403270ORL,Orlando Magic,ORL,93,Golden State Warriors,GSW,101
2023-24,3/27/2024,PHI vs LAC,202403270PHI,Philadelphia 76ers,PHI,107,Los Angeles Clippers,LAC,108
2023-24,3/27/2024,TOR vs NYK,202403270TOR,Toronto Raptors,TOR,101,New York Knicks,NYK,145
2023-24,3/27/2024,UTA vs SAS,202403270UTA,Utah Jazz,UTA,111,San Antonio Spurs,SAS,118
2023-24,3/27/2024,WAS vs BRK,202403270WAS,Washington Wizards,WAS,119,Brooklyn Nets,BRK,122
2023-24,3/26/2024,MIA vs GSW,202403260MIA,Miami Heat,MIA,92,Golden State Warriors,GSW,113
2023-24,3/26/2024,MIL vs LAL,202403260MIL,Milwaukee Bucks,MIL,124,Los Angeles Lakers,LAL,128
2023-24,3/26/2024,NOP vs OKC,202403260NOP,New Orleans Pelicans,NOP,112,Oklahoma City Thunder,OKC,119
2023-24,3/26/2024,SAC vs DAL,202403260SAC,Sacramento Kings,SAC,96,Dallas Mavericks,DAL,132
2023-24,3/25/2024,ATL vs BOS,202403250ATL,Atlanta Hawks,ATL,120,Boston Celtics,BOS,118
2023-24,3/25/2024,CHI vs WAS,202403250CHI,Chicago Bulls,CHI,105,Washington Wizards,WAS,107
2023-24,3/25/2024,CLE vs CHO,202403250CLE,Cleveland Cavaliers,CLE,115,Charlotte Hornets,CHO,92
2023-24,3/25/2024,DEN vs MEM,202403250DEN,Denver Nuggets,DEN,128,Memphis Grizzlies,MEM,103
2023-24,3/25/2024,HOU vs POR,202403250HOU,Houston Rockets,HOU,110,Portland Trail Blazers,POR,92
2023-24,3/25/2024,LAC vs IND,202403250LAC,Los Angeles Clippers,LAC,116,Indiana Pacers,IND,133
2023-24,3/25/2024,NYK vs DET,202403250NYK,New York Knicks,NYK,124,Detroit Pistons,DET,99
2023-24,3/25/2024,SAC vs PHI,202403250SAC,Sacramento Kings,SAC,108,Philadelphia 76ers,PHI,96
2023-24,3/25/2024,SAS vs PHO,202403250SAS,San Antonio Spurs,SAS,104,Phoenix Suns,PHO,102
2023-24,3/25/2024,TOR vs BRK,202403250TOR,Toronto Raptors,TOR,88,Brooklyn Nets,BRK,96
2023-24,3/25/2024,UTA vs DAL,202403250UTA,Utah Jazz,UTA,105,Dallas Mavericks,DAL,115
2023-24,3/24/2024,DET vs NOP,202403240DET,Detroit Pistons,DET,101,New Orleans Pelicans,NOP,114
2023-24,3/24/2024,LAC vs PHI,202403240LAC,Los Angeles Clippers,LAC,107,Philadelphia 76ers,PHI,121
2023-24,3/24/2024,LAL vs IND,202403240LAL,Los Angeles Lakers,LAL,150,Indiana Pacers,IND,145
2023-24,3/24/2024,MIA vs CLE,202403240MIA,Miami Heat,MIA,121,Cleveland Cavaliers,CLE,84
2023-24,3/24/2024,MIL vs OKC,202403240MIL,Milwaukee Bucks,MIL,118,Oklahoma City Thunder,OKC,93
2023-24,3/24/2024,MIN vs GSW,202403240MIN,Minnesota Timberwolves,MIN,114,Golden State Warriors,GSW,110
2023-24,3/23/2024,ATL vs CHO,202403230ATL,Atlanta Hawks,ATL,132,Charlotte Hornets,CHO,91
2023-24,3/23/2024,CHI vs BOS,202403230CHI,Chicago Bulls,CHI,113,Boston Celtics,BOS,124
2023-24,3/23/2024,HOU vs UTA,202403230HOU,Houston Rockets,HOU,147,Utah Jazz,UTA,119
2023-24,3/23/2024,NYK vs BRK,202403230NYK,New York Knicks,NYK,105,Brooklyn Nets,BRK,93
2023-24,3/23/2024,ORL vs SAC,202403230ORL,Orlando Magic,ORL,107,Sacramento Kings,SAC,109
2023-24,3/23/2024,POR vs DEN,202403230POR,Portland Trail Blazers,POR,111,Denver Nuggets,DEN,114
2023-24,3/23/2024,SAS vs PHO,202403230SAS,San Antonio Spurs,SAS,106,Phoenix Suns,PHO,131
2023-24,3/23/2024,WAS vs TOR,202403230WAS,Washington Wizards,WAS,112,Toronto Raptors,TOR,109
2023-24,3/22/2024,DET vs BOS,202403220DET,Detroit Pistons,DET,102,Boston Celtics,BOS,129
2023-24,3/22/2024,GSW vs IND,202403220GSW,Golden State Warriors,GSW,111,Indiana Pacers,IND,123
2023-24,3/22/2024,LAL vs PHI,202403220LAL,Los Angeles Lakers,LAL,101,Philadelphia 76ers,PHI,94
2023-24,3/22/2024,MIA vs NOP,202403220MIA,Miami Heat,MIA,88,New Orleans Pelicans,NOP,111
2023-24,3/22/2024,MIN vs CLE,202403220MIN,Minnesota Timberwolves,MIN,104,Cleveland Cavaliers,CLE,91
2023-24,3/22/2024,POR vs LAC,202403220POR,Portland Trail Blazers,POR,117,Los Angeles Clippers,LAC,125
2023-24,3/22/2024,SAS vs MEM,202403220SAS,San Antonio Spurs,SAS,97,Memphis Grizzlies,MEM,99
2023-24,3/22/2024,TOR vs OKC,202403220TOR,Toronto Raptors,TOR,103,Oklahoma City Thunder,OKC,123
2023-24,3/21/2024,DAL vs UTA,202403210DAL,Dallas Mavericks,DAL,113,Utah Jazz,UTA,97
2023-24,3/21/2024,DEN vs NYK,202403210DEN,Denver Nuggets,DEN,113,New York Knicks,NYK,100
2023-24,3/21/2024,HOU vs CHI,202403210HOU,Houston Rockets,HOU,127,Chicago Bulls,CHI,117
2023-24,3/21/2024,MIL vs BRK,202403210MIL,Milwaukee Bucks,MIL,115,Brooklyn Nets,BRK,108
2023-24,3/21/2024,ORL vs NOP,202403210ORL,Orlando Magic,ORL,121,New Orleans Pelicans,NOP,106
2023-24,3/21/2024,PHO vs ATL,202403210PHO,Phoenix Suns,PHO,128,Atlanta Hawks,ATL,115
2023-24,3/21/2024,WAS vs SAC,202403210WAS,Washington Wizards,WAS,109,Sacramento Kings,SAC,102
2023-24,3/20/2024,BOS vs MIL,202403200BOS,Boston Celtics,BOS,122,Milwaukee Bucks,MIL,119
2023-24,3/20/2024,CLE vs MIA,202403200CLE,Cleveland Cavaliers,CLE,104,Miami Heat,MIA,107
2023-24,3/20/2024,DET vs IND,202403200DET,Detroit Pistons,DET,103,Indiana Pacers,IND,122
2023-24,3/20/2024,GSW vs MEM,202403200GSW,Golden State Warriors,GSW,137,Memphis Grizzlies,MEM,116
2023-24,3/20/2024,OKC vs UTA,202403200OKC,Oklahoma City Thunder,OKC,119,Utah Jazz,UTA,107
2023-24,3/20/2024,PHO vs PHI,202403200PHO,Phoenix Suns,PHO,115,Philadelphia 76ers,PHI,102
2023-24,3/20/2024,POR vs LAC,202403200POR,Portland Trail Blazers,POR,103,Los Angeles Clippers,LAC,116
2023-24,3/20/2024,TOR vs SAC,202403200TOR,Toronto Raptors,TOR,89,Sacramento Kings,SAC,123
2023-24,3/19/2024,BRK vs NOP,202403190BRK,Brooklyn Nets,BRK,91,New Orleans Pelicans,NOP,104
2023-24,3/19/2024,MIN vs DEN,202403190MIN,Minnesota Timberwolves,MIN,112,Denver Nuggets,DEN,115
2023-24,3/19/2024,ORL vs CHO,202403190ORL,Orlando Magic,ORL,112,Charlotte Hornets,CHO,92
2023-24,3/19/2024,SAS vs DAL,202403190SAS,San Antonio Spurs,SAS,107,Dallas Mavericks,DAL,113
2023-24,3/19/2024,WAS vs HOU,202403190WAS,Washington Wizards,WAS,114,Houston Rockets,HOU,137
2023-24,3/18/2024,BOS vs DET,202403180BOS,Boston Celtics,BOS,119,Detroit Pistons,DET,94
2023-24,3/18/2024,CHI vs POR,202403180CHI,Chicago Bulls,CHI,110,Portland Trail Blazers,POR,107
2023-24,3/18/2024,GSW vs NYK,202403180GSW,Golden State Warriors,GSW,112,New York Knicks,NYK,119
2023-24,3/18/2024,IND vs CLE,202403180IND,Indiana Pacers,IND,103,Cleveland Cavaliers,CLE,108
2023-24,3/18/2024,LAL vs ATL,202403180LAL,Los Angeles Lakers,LAL,136,Atlanta Hawks,ATL,105
2023-24,3/18/2024,PHI vs MIA,202403180PHI,Philadelphia 76ers,PHI,98,Miami Heat,MIA,91
2023-24,3/18/2024,SAC vs MEM,202403180SAC,Sacramento Kings,SAC,121,Memphis Grizzlies,MEM,111
2023-24,3/18/2024,UTA vs MIN,202403180UTA,Utah Jazz,UTA,104,Minnesota Timberwolves,MIN,114
2023-24,3/17/2024,DAL vs DEN,202403170DAL,Dallas Mavericks,DAL,107,Denver Nuggets,DEN,105
2023-24,3/17/2024,DET vs MIA,202403170DET,Detroit Pistons,DET,101,Miami Heat,MIA,104
2023-24,3/17/2024,LAC vs ATL,202403170LAC,Los Angeles Clippers,LAC,93,Atlanta Hawks,ATL,110
2023-24,3/17/2024,MIL vs PHO,202403170MIL,Milwaukee Bucks,MIL,140,Phoenix Suns,PHO,129
2023-24,3/17/2024,ORL vs TOR,202403170ORL,Orlando Magic,ORL,111,Toronto Raptors,TOR,96
2023-24,3/17/2024,SAS vs BRK,202403170SAS,San Antonio Spurs,SAS,122,Brooklyn Nets,BRK,115
2023-24,3/17/2024,WAS vs BOS,202403170WAS,Washington Wizards,WAS,104,Boston Celtics,BOS,130
2023-24,3/16/2024,CHI vs WAS,202403160CHI,Chicago Bulls,CHI,127,Washington Wizards,WAS,98
2023-24,3/16/2024,HOU vs CLE,202403160HOU,Houston Rockets,HOU,117,Cleveland Cavaliers,CLE,103
2023-24,3/16/2024,IND vs BRK,202403160IND,Indiana Pacers,IND,121,Brooklyn Nets,BRK,100
2023-24,3/16/2024,LAL vs GSW,202403160LAL,Los Angeles Lakers,LAL,121,Golden State Warriors,GSW,128
2023-24,3/16/2024,MEM vs OKC,202403160MEM,Memphis Grizzlies,MEM,112,Oklahoma City Thunder,OKC,118
2023-24,3/16/2024,NOP vs POR,202403160NOP,New Orleans Pelicans,NOP,126,Portland Trail Blazers,POR,107
2023-24,3/16/2024,PHI vs CHO,202403160PHI,Philadelphia 76ers,PHI,109,Charlotte Hornets,CHO,98
2023-24,3/16/2024,SAC vs NYK,202403160SAC,Sacramento Kings,SAC,91,New York Knicks,NYK,98
2023-24,3/16/2024,UTA vs MIN,202403160UTA,Utah Jazz,UTA,100,Minnesota Timberwolves,MIN,119
2023-24,3/15/2024,CHO vs PHO,202403150CHO,Charlotte Hornets,CHO,96,Phoenix Suns,PHO,107
2023-24,3/15/2024,DET vs MIA,202403150DET,Detroit Pistons,DET,95,Miami Heat,MIA,108
2023-24,3/15/2024,NOP vs LAC,202403150NOP,New Orleans Pelicans,NOP,112,Los Angeles Clippers,LAC,104
2023-24,3/15/2024,SAS vs DEN,202403150SAS,San Antonio Spurs,SAS,106,Denver Nuggets,DEN,117
2023-24,3/15/2024,TOR vs ORL,202403150TOR,Toronto Raptors,TOR,103,Orlando Magic,ORL,113
2023-24,3/15/2024,UTA vs ATL,202403150UTA,Utah Jazz,UTA,124,Atlanta Hawks,ATL,122
2023-24,3/14/2024,BOS vs PHO,202403140BOS,Boston Celtics,BOS,127,Phoenix Suns,PHO,112
2023-24,3/14/2024,CHI vs LAC,202403140CHI,Chicago Bulls,CHI,111,Los Angeles Clippers,LAC,126
2023-24,3/14/2024,HOU vs WAS,202403140HOU,Houston Rockets,HOU,135,Washington Wizards,WAS,119
2023-24,3/14/2024,MIL vs PHI,202403140MIL,Milwaukee Bucks,MIL,114,Philadelphia 76ers,PHI,105
2023-24,3/14/2024,OKC vs DAL,202403140OKC,Oklahoma City Thunder,OKC,126,Dallas Mavericks,DAL,119
2023-24,3/14/2024,POR vs NYK,202403140POR,Portland Trail Blazers,POR,93,New York Knicks,NYK,105
2023-24,3/13/2024,DAL vs GSW,202403130DAL,Dallas Mavericks,DAL,109,Golden State Warriors,GSW,99
2023-24,3/13/2024,DET vs TOR,202403130DET,Detroit Pistons,DET,113,Toronto Raptors,TOR,104
2023-24,3/13/2024,IND vs CHI,202403130IND,Indiana Pacers,IND,129,Chicago Bulls,CHI,132
2023-24,3/13/2024,MEM vs CHO,202403130MEM,Memphis Grizzlies,MEM,98,Charlotte Hornets,CHO,110
2023-24,3/13/2024,MIA vs DEN,202403130MIA,Miami Heat,MIA,88,Denver Nuggets,DEN,100
2023-24,3/13/2024,NOP vs CLE,202403130NOP,New Orleans Pelicans,NOP,95,Cleveland Cavaliers,CLE,116
2023-24,3/13/2024,ORL vs BRK,202403130ORL,Orlando Magic,ORL,114,Brooklyn Nets,BRK,106
2023-24,3/13/2024,POR vs ATL,202403130POR,Portland Trail Blazers,POR,106,Atlanta Hawks,ATL,102
2023-24,3/13/2024,SAC vs LAL,202403130SAC,Sacramento Kings,SAC,120,Los Angeles Lakers,LAL,107
2023-24,3/12/2024,LAC vs MIN,202403120LAC,Los Angeles Clippers,LAC,100,Minnesota Timberwolves,MIN,118
2023-24,3/12/2024,MEM vs WAS,202403120MEM,Memphis Grizzlies,MEM,109,Washington Wizards,WAS,97
2023-24,3/12/2024,NYK vs PHI,202403120NYK,New York Knicks,NYK,106,Philadelphia 76ers,PHI,79
2023-24,3/12/2024,OKC vs IND,202403120OKC,Oklahoma City Thunder,OKC,111,Indiana Pacers,IND,121
2023-24,3/12/2024,SAC vs MIL,202403120SAC,Sacramento Kings,SAC,129,Milwaukee Bucks,MIL,94
2023-24,3/12/2024,SAS vs HOU,202403120SAS,San Antonio Spurs,SAS,101,Houston Rockets,HOU,103
2023-24,3/12/2024,UTA vs BOS,202403120UTA,Utah Jazz,UTA,107,Boston Celtics,BOS,123
2023-24,3/11/2024,CHI vs DAL,202403110CHI,Chicago Bulls,CHI,92,Dallas Mavericks,DAL,127
2023-24,3/11/2024,CLE vs PHO,202403110CLE,Cleveland Cavaliers,CLE,111,Phoenix Suns,PHO,117
2023-24,3/11/2024,DEN vs TOR,202403110DEN,Denver Nuggets,DEN,125,Toronto Raptors,TOR,119
2023-24,3/11/2024,DET vs CHO,202403110DET,Detroit Pistons,DET,114,Charlotte Hornets,CHO,97
2023-24,3/11/2024,POR vs BOS,202403110POR,Portland Trail Blazers,POR,99,Boston Celtics,BOS,121
2023-24,3/11/2024,SAS vs GSW,202403110SAS,San Antonio Spurs,SAS,102,Golden State Warriors,GSW,112
2023-24,3/10/2024,ATL vs NOP,202403100ATL,Atlanta Hawks,ATL,103,New Orleans Pelicans,NOP,116
2023-24,3/10/2024,CLE vs BRK,202403100CLE,Cleveland Cavaliers,CLE,101,Brooklyn Nets,BRK,120
2023-24,3/10/2024,LAC vs MIL,202403100LAC,Los Angeles Clippers,LAC,117,Milwaukee Bucks,MIL,124
2023-24,3/10/2024,LAL vs MIN,202403100LAL,Los Angeles Lakers,LAL,120,Minnesota Timberwolves,MIN,109
2023-24,3/10/2024,MIA vs WAS,202403100MIA,Miami Heat,MIA,108,Washington Wizards,WAS,110
2023-24,3/10/2024,NYK vs PHI,202403100NYK,New York Knicks,NYK,73,Philadelphia 76ers,PHI,79
2023-24,3/10/2024,OKC vs MEM,202403100OKC,Oklahoma City Thunder,OKC,124,Memphis Grizzlies,MEM,93
2023-24,3/10/2024,ORL vs IND,202403100ORL,Orlando Magic,ORL,97,Indiana Pacers,IND,111
2023-24,3/10/2024,SAC vs HOU,202403100SAC,Sacramento Kings,SAC,104,Houston Rockets,HOU,112
2023-24,3/9/2024,CHO vs BRK,202403090CHO,Charlotte Hornets,CHO,110,Brooklyn Nets,BRK,99
2023-24,3/9/2024,DEN vs UTA,202403090DEN,Denver Nuggets,DEN,142,Utah Jazz,UTA,121
2023-24,3/9/2024,DET vs DAL,202403090DET,Detroit Pistons,DET,124,Dallas Mavericks,DAL,142
2023-24,3/9/2024,GSW vs SAS,202403090GSW,Golden State Warriors,GSW,113,San Antonio Spurs,SAS,126
2023-24,3/9/2024,LAC vs CHI,202403090LAC,Los Angeles Clippers,LAC,112,Chicago Bulls,CHI,102
2023-24,3/9/2024,PHO vs BOS,202403090PHO,Phoenix Suns,PHO,107,Boston Celtics,BOS,117
2023-24,3/9/2024,POR vs TOR,202403090POR,Portland Trail Blazers,POR,128,Toronto Raptors,TOR,118
2023-24,3/8/2024,CLE vs MIN,202403080CLE,Cleveland Cavaliers,CLE,113,Minnesota Timberwolves,MIN,104
2023-24,3/8/2024,LAL vs MIL,202403080LAL,Los Angeles Lakers,LAL,123,Milwaukee Bucks,MIL,122
2023-24,3/8/2024,MEM vs ATL,202403080MEM,Memphis Grizzlies,MEM,92,Atlanta Hawks,ATL,99
2023-24,3/8/2024,NYK vs ORL,202403080NYK,New York Knicks,NYK,98,Orlando Magic,ORL,74
2023-24,3/8/2024,OKC vs MIA,202403080OKC,Oklahoma City Thunder,OKC,107,Miami Heat,MIA,100
2023-24,3/8/2024,PHI vs NOP,202403080PHI,Philadelphia 76ers,PHI,95,New Orleans Pelicans,NOP,103
2023-24,3/8/2024,POR vs HOU,202403080POR,Portland Trail Blazers,POR,107,Houston Rockets,HOU,123
2023-24,3/8/2024,WAS vs CHO,202403080WAS,Washington Wizards,WAS,112,Charlotte Hornets,CHO,100
2023-24,3/7/2024,DAL vs MIA,202403070DAL,Dallas Mavericks,DAL,114,Miami Heat,MIA,108
2023-24,3/7/2024,DEN vs BOS,202403070DEN,Denver Nuggets,DEN,115,Boston Celtics,BOS,109
2023-24,3/7/2024,DET vs BRK,202403070DET,Detroit Pistons,DET,118,Brooklyn Nets,BRK,112
2023-24,3/7/2024,GSW vs CHI,202403070GSW,Golden State Warriors,GSW,122,Chicago Bulls,CHI,125
2023-24,3/7/2024,IND vs MIN,202403070IND,Indiana Pacers,IND,111,Minnesota Timberwolves,MIN,113
2023-24,3/7/2024,PHO vs TOR,202403070PHO,Phoenix Suns,PHO,120,Toronto Raptors,TOR,113
2023-24,3/7/2024,SAC vs SAS,202403070SAC,Sacramento Kings,SAC,131,San Antonio Spurs,SAS,129
2023-24,3/6/2024,ATL vs CLE,202403060ATL,Atlanta Hawks,ATL,112,Cleveland Cavaliers,CLE,101
2023-24,3/6/2024,GSW vs MIL,202403060GSW,Golden State Warriors,GSW,125,Milwaukee Bucks,MIL,90
2023-24,3/6/2024,HOU vs LAC,202403060HOU,Houston Rockets,HOU,116,Los Angeles Clippers,LAC,122
2023-24,3/6/2024,LAL vs SAC,202403060LAL,Los Angeles Lakers,LAL,120,Sacramento Kings,SAC,130
2023-24,3/6/2024,PHI vs MEM,202403060PHI,Philadelphia 76ers,PHI,109,Memphis Grizzlies,MEM,115
2023-24,3/6/2024,POR vs OKC,202403060POR,Portland Trail Blazers,POR,120,Oklahoma City Thunder,OKC,128
2023-24,3/6/2024,UTA vs CHI,202403060UTA,Utah Jazz,UTA,117,Chicago Bulls,CHI,119
2023-24,3/6/2024,WAS vs ORL,202403060WAS,Washington Wizards,WAS,109,Orlando Magic,ORL,119
2023-24,3/5/2024,BRK vs PHI,202403050BRK,Brooklyn Nets,BRK,112,Philadelphia 76ers,PHI,107
2023-24,3/5/2024,CHO vs ORL,202403050CHO,Charlotte Hornets,CHO,89,Orlando Magic,ORL,101
2023-24,3/5/2024,CLE vs BOS,202403050CLE,Cleveland Cavaliers,CLE,105,Boston Celtics,BOS,104
2023-24,3/5/2024,DAL vs IND,202403050DAL,Dallas Mavericks,DAL,120,Indiana Pacers,IND,137
2023-24,3/5/2024,DEN vs PHO,202403050DEN,Denver Nuggets,DEN,107,Phoenix Suns,PHO,117
2023-24,3/5/2024,HOU vs SAS,202403050HOU,Houston Rockets,HOU,114,San Antonio Spurs,SAS,101
2023-24,3/5/2024,MIA vs DET,202403050MIA,Miami Heat,MIA,118,Detroit Pistons,DET,110
2023-24,3/5/2024,NYK vs ATL,202403050NYK,New York Knicks,NYK,100,Atlanta Hawks,ATL,116
2023-24,3/5/2024,TOR vs NOP,202403050TOR,Toronto Raptors,TOR,98,New Orleans Pelicans,NOP,139
2023-24,3/4/2024,BRK vs MEM,202403040BRK,Brooklyn Nets,BRK,102,Memphis Grizzlies,MEM,106
2023-24,3/4/2024,LAL vs OKC,202403040LAL,Los Angeles Lakers,LAL,116,Oklahoma City Thunder,OKC,104
2023-24,3/4/2024,MIL vs LAC,202403040MIL,Milwaukee Bucks,MIL,113,Los Angeles Clippers,LAC,106
2023-24,3/4/2024,MIN vs POR,202403040MIN,Minnesota Timberwolves,MIN,119,Portland Trail Blazers,POR,114
2023-24,3/4/2024,SAC vs CHI,202403040SAC,Sacramento Kings,SAC,109,Chicago Bulls,CHI,113
2023-24,3/4/2024,UTA vs WAS,202403040UTA,Utah Jazz,UTA,127,Washington Wizards,WAS,115
2023-24,3/3/2024,BOS vs GSW,202403030BOS,Boston Celtics,BOS,140,Golden State Warriors,GSW,88
2023-24,3/3/2024,CLE vs NYK,202403030CLE,Cleveland Cavaliers,CLE,98,New York Knicks,NYK,107
2023-24,3/3/2024,DAL vs PHI,202403030DAL,Dallas Mavericks,DAL,116,Philadelphia 76ers,PHI,120
2023-24,3/3/2024,MIN vs LAC,202403030MIN,Minnesota Timberwolves,MIN,88,Los Angeles Clippers,LAC,89
2023-24,3/3/2024,ORL vs DET,202403030ORL,Orlando Magic,ORL,113,Detroit Pistons,DET,91
2023-24,3/3/2024,PHO vs OKC,202403030PHO,Phoenix Suns,PHO,110,Oklahoma City Thunder,OKC,118
2023-24,3/3/2024,SAS vs IND,202403030SAS,San Antonio Spurs,SAS,117,Indiana Pacers,IND,105
2023-24,3/3/2024,TOR vs CHO,202403030TOR,Toronto Raptors,TOR,111,Charlotte Hornets,CHO,106
2023-24,3/2/2024,BRK vs ATL,202403020BRK,Brooklyn Nets,BRK,114,Atlanta Hawks,ATL,102
2023-24,3/2/2024,LAL vs DEN,202403020LAL,Los Angeles Lakers,LAL,114,Denver Nuggets,DEN,124
2023-24,3/2/2024,MEM vs POR,202403020MEM,Memphis Grizzlies,MEM,100,Portland Trail Blazers,POR,107
2023-24,3/2/2024,MIA vs UTA,202403020MIA,Miami Heat,MIA,126,Utah Jazz,UTA,120
2023-24,3/2/2024,PHO vs HOU,202403020PHO,Phoenix Suns,PHO,109,Houston Rockets,HOU,118
2023-24,3/1/2024,BOS vs DAL,202403010BOS,Boston Celtics,BOS,138,Dallas Mavericks,DAL,110
2023-24,3/1/2024,CHI vs MIL,202403010CHI,Chicago Bulls,CHI,97,Milwaukee Bucks,MIL,113
2023-24,3/1/2024,DET vs CLE,202403010DET,Detroit Pistons,DET,100,Cleveland Cavaliers,CLE,110
2023-24,3/1/2024,LAC vs WAS,202403010LAC,Los Angeles Clippers,LAC,140,Washington Wizards,WAS,115
2023-24,3/1/2024,MEM vs POR,202403010MEM,Memphis Grizzlies,MEM,92,Portland Trail Blazers,POR,122
2023-24,3/1/2024,MIN vs SAC,202403010MIN,Minnesota Timberwolves,MIN,120,Sacramento Kings,SAC,124
2023-24,3/1/2024,NOP vs IND,202403010NOP,New Orleans Pelicans,NOP,129,Indiana Pacers,IND,102
2023-24,3/1/2024,PHI vs CHO,202403010PHI,Philadelphia 76ers,PHI,121,Charlotte Hornets,CHO,114
2023-24,3/1/2024,TOR vs GSW,202403010TOR,Toronto Raptors,TOR,105,Golden State Warriors,GSW,120
2023-24,2/29/2024,BRK vs ATL,202402290BRK,Brooklyn Nets,BRK,124,Atlanta Hawks,ATL,97
2023-24,2/29/2024,CHO vs MIL,202402290CHO,Charlotte Hornets,CHO,99,Milwaukee Bucks,MIL,111
2023-24,2/29/2024,DEN vs MIA,202402290DEN,Denver Nuggets,DEN,103,Miami Heat,MIA,97
2023-24,2/29/2024,LAL vs WAS,202402290LAL,Los Angeles Lakers,LAL,134,Washington Wizards,WAS,131
2023-24,2/29/2024,NYK vs GSW,202402290NYK,New York Knicks,NYK,99,Golden State Warriors,GSW,110
2023-24,2/29/2024,ORL vs UTA,202402290ORL,Orlando Magic,ORL,115,Utah Jazz,UTA,107
2023-24,2/29/2024,PHO vs HOU,202402290PHO,Phoenix Suns,PHO,110,Houston Rockets,HOU,105
2023-24,2/29/2024,SAS vs OKC,202402290SAS,San Antonio Spurs,SAS,132,Oklahoma City Thunder,OKC,118
2023-24,2/28/2024,CHI vs CLE,202402280CHI,Chicago Bulls,CHI,132,Cleveland Cavaliers,CLE,123
2023-24,2/28/2024,DEN vs SAC,202402280DEN,Denver Nuggets,DEN,117,Sacramento Kings,SAC,96
2023-24,2/28/2024,IND vs NOP,202402280IND,Indiana Pacers,IND,123,New Orleans Pelicans,NOP,114
2023-24,2/28/2024,LAC vs LAL,202402280LAC,Los Angeles Clippers,LAC,112,Los Angeles Lakers,LAL,116
2023-24,2/28/2024,MIN vs MEM,202402280MIN,Minnesota Timberwolves,MIN,110,Memphis Grizzlies,MEM,101
